用例,实际结果,预期结果,sourceStationId,sourceStation,targetStationId,targetStation,routeStationId,routeStation,consignerId,consigneeId,consignerName,consigneeName,consignerPhone,consigneePhone,consignerAddress,consigneeAddress,consignerType,consigneeType,receiptNumber,clientType,comments,salesmanId,salesmanName,waitDelivery,ename,consignerIdNo,name,quantity,weight,volume,unitPrice,overpack,unitValue,orderFee,deliveryType,paymentType,paymentCollect,collectFee,freight,pickupFee,deliveryFee,refund,rebate,insurePrice,insureFee,reserveTransitFee,recordFee,receiptFee,storageFee
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物1,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物2,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物3,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物4,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物5,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物6,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物7,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物8,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物9,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物10,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物11,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物12,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物13,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物14,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物15,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物16,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物17,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物18,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物19,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
送货运单数据,,开单成功,10600,宁波北仑,10600,宁波北仑,0,,12793,12792,林欣欣VIP月结用户,小快测试号130,17348508642,13093728256,,浙江省杭州市西湖区计量大厦16楼,1,0,,0,,,,0,宁波员工zxz,652901199312121821,送货上门货物20,1000,150,220,,纸箱,1,,2,2,,0,200,,50,,,0,0,,1,0,
